Case_Year,Case Number,Incident_DateTime,Borough,Battalion,Community_District,Precinct,Incident_Classification,Cause_Fire_Description,Fire_Code_Category
2024,50053,04/02/2024 05:39:00 AM,Staten Island,22,2,122,MFA,Other - No Fire,No Fire
2024,77080,04/02/2024 08:00:00 AM,Queens,45,2,108,Vehicle,Service,Electrical
2024,30340,04/02/2024 09:19:00 AM,Brooklyn,28,1,83,Vehicle,Preliminary Investigation Only,Other
2024,30341,04/02/2024 10:18:00 AM,Brooklyn,43,13,60,MD Residential Structure,Electrical Wiring,Electrical
2024,30342,04/02/2024 11:12:00 AM,Brooklyn,57,3,79,MD Residential Structure,Electrical Wiring,Electrical
2024,20276,04/02/2024 01:14:00 PM,Bronx,26,2,47,Vehicle,Preliminary Investigation Only,Other
2024,20277,04/02/2024 05:50:00 PM,Bronx,14,3,42,MD Residential Structure,Incendiary,Incendiary
2024,20278,04/03/2024 02:54:00 AM,Bronx,15,11,49,PD Residential Structure,Extension Cord,Electrical
2024,30343,04/03/2024 07:33:00 AM,Brooklyn,40,12,66,PD Residential Structure,Electrical Wiring,Electrical
2024,40329,04/03/2024 03:52:00 PM,Queens,46,4,110,Commercial Structure,Incendiary,Incendiary
2024,10168,04/03/2024 07:27:00 PM,Manhattan,13,12,34,,Preliminary Investigation Only,Other
2024,30344,04/03/2024 08:03:00 PM,Brooklyn,44,4,81,Vehicle,Incendiary,Incendiary
2024,30345,04/03/2024 08:03:00 PM,Brooklyn,28,1,88,Commercial Structure,Preliminary Investigation Only,Other
2024,20279,04/04/2024 12:04:00 AM,Bronx,20,11,49,Commercial Structure,Other - Hot Objects,Hot Objects
2024,30346,04/04/2024 06:27:00 AM,Brooklyn,44,3,81,Vehicle,Preliminary Investigation Only,Other
2024,50054,04/04/2024 08:03:00 AM,Staten Island,22,1,120,PD Residential Structure,Microwave,Appliances
2024,30347,04/04/2024 09:30:00 AM,Brooklyn,48,12,66,PD Residential Structure,Preliminary Investigation Only,Other
2024,40331,04/04/2024 03:49:00 PM,Queens,49,3,115,PD Residential Structure,Electrical Wiring,Electrical
2024,10169,04/04/2024 07:16:00 PM,Manhattan,6,6,13,Vehicle,Preliminary Investigation Only,Other
2024,30348,04/05/2024 06:08:00 AM,Brooklyn,40,10,68,Vehicle,Preliminary Investigation Only,Other
2024,40333,04/05/2024 10:38:00 AM,Queens,54,13,113,Vehicle,Lithium Ion Battery,Electrical
2024,40334,04/05/2024 12:08:00 PM,Queens,51,10,106,PD Residential Structure,Stove  - Natural Gas,Appliances
2024,30350,04/05/2024 12:13:00 PM,Brooklyn,28,1,94,Vehicle,Preliminary Investigation Only,Other
2024,40336,04/05/2024 03:25:00 PM,Queens,46,6,104,MD Residential Structure,Candle,Open Flame
2024,40337,04/05/2024 07:35:00 PM,Queens,53,11,111,Brush,Incendiary,Incendiary
2024,20280,04/05/2024 10:53:00 PM,Bronx,3,9,43,MD Residential Structure,Incendiary,Incendiary
2024,20282,04/06/2024 01:00:00 AM,Bronx,18,6,48,MD Residential Structure,Incendiary,Incendiary
2024,50056,04/06/2024 01:03:00 AM,Staten Island,21,1,120,MD Residential Structure,Electrical Wiring,Electrical
2024,30351,04/06/2024 01:15:00 AM,Brooklyn,32,2,84,Vehicle,Preliminary Investigation Only,Other
2024,10171,04/06/2024 11:54:00 AM,Manhattan,10,8,19,Commercial Structure,Hard Wire Outlet,Electrical
2024,40340,04/06/2024 03:42:00 PM,Queens,47,14,101,MD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2024,30352,04/06/2024 05:52:00 PM,Brooklyn,42,11,62,Commercial Structure,Rangehood Fire - Ductwork,Cooking
2024,10172,04/07/2024 05:33:00 AM,Manhattan,11,7,24,MD Residential Structure,Portable Heater - Electric,Heaters
2024,30353,04/07/2024 09:51:00 AM,Brooklyn,43,11,62,PD Residential Structure,Electrical Wiring,Electrical
2024,40341,04/07/2024 10:18:00 AM,Queens,50,8,107,Commercial Structure,Hard Wire Outlet,Electrical
2024,30354,04/07/2024 12:56:00 PM,Brooklyn,32,2,84,MD Residential Structure,Stove/Cooking - Stove,Cooking
2024,30355,04/07/2024 01:25:00 PM,Brooklyn,38,17,71,MD Residential Structure,Motors - Elevator,Motors
2024,20285,04/07/2024 07:35:00 PM,Bronx,27,11,49,MD Residential Structure,Stove/Cooking - Other,Cooking
2024,30356,04/07/2024 11:05:00 PM,Brooklyn,41,17,67,MD Residential Structure,Preliminary Investigation Only,Other
2024,77085,04/08/2024 07:05:00 AM,Bronx,26,3,42,No Fire,Other,Other
2024,20287,04/08/2024 07:39:00 AM,Bronx,19,5,46,PD Residential Structure,Smoking (Cigarette/Cigar),Smoking
2024,20288,04/08/2024 08:02:00 AM,Bronx,14,1,40,,Preliminary Investigation Only,Other
2024,30357,04/08/2024 10:45:00 AM,Brooklyn,,15,60,PD Residential Structure,Incendiary,Incendiary
2024,40343,04/08/2024 11:55:00 AM,Queens,49,3,115,Other,Other - No Fire,No Fire
